Tool|Range|Size
All|(0,25]|196
All|(25,50]|103
All|(50,100]|129
All|(100,200]|132
All|(200,400]|93
All|(400,1500]|181
AutoFL|(0,25]|118
AutoFL|(25,50]|29
AutoFL|(50,100]|45
AutoFL|(100,200]|31
AutoFL|(200,400]|20
AutoFL|(400,1500]|10
AgentFL|(0,25]|135
AgentFL|(25,50]|51
AgentFL|(50,100]|65
AgentFL|(100,200]|47
AgentFL|(200,400]|25
AgentFL|(400,1500]|60
CosFL|(0,25]|181
CosFL|(25,50]|84
CosFL|(50,100]|91
CosFL|(100,200]|75
CosFL|(200,400]|45
CosFL|(400,1500]|56
